,city,type_of_plan,highest_level_education,work_status,gender,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew_Offer_Type,reachability,type_of_vehicle,churn
707,Kumasi,extended_plan,High School or Below,Employed,female,Married,158,77,1,4,contacting_agent,2-door_car,No
708,Accra,primary_plan,High School or Below,Employed,male,Married,212,4,1,2,contacting_agent,SUV,No
709,Kumasi,premium_plan,Bachelor,Employed,male,Married,206,120,1,2,contacting_branch_directly,4-door_car,No
710,Accra,primary_plan,College,Medical Leave,female,Married,140,77,4,1,contacting_agent,4-door_car,No
711,Kumasi,primary_plan,Bachelor,Unemployed,male,Married,130,39,2,2,contacting_agent,2-door_car,Yes
712,Takoradi,primary_plan,Bachelor,Employed,male,Divorced,226,22,1,3,contacting_branch_directly,SUV,No
713,Accra,premium_plan,Bachelor,Unemployed,male,Single,284,22,1,4,via_the_web,SUV,No
714,Cape_coast,extended_plan,Bachelor,Unemployed,male,Married,274,108,1,2,contacting_branch_directly,SUV,No
715,Takoradi,primary_plan,Bachelor,Employed,female,Married,214,69,2,3,via_the_web,Sports Car,No
716,Kumasi,primary_plan,College,Employed,female,Married,148,34,1,4,contacting_agent,4-door_car,No
717,Accra,primary_plan,College,Unemployed,male,Single,122,26,1,2,contacting_agent,4-door_car,No
718,Takoradi,extended_plan,High School or Below,Employed,female,Married,256,47,9,3,contacting_branch_directly,Sports Car,No
719,Tamale,extended_plan,High School or Below,Employed,female,Married,272,13,1,4,contacting_agent,Sports Car,No
720,Accra,extended_plan,College,Employed,male,Divorced,278,77,1,1,contacting_branch_directly,SUV,No
721,Accra,primary_plan,Bachelor,Disabled,male,Married,142,125,1,3,contacting_agent,2-door_car,No
722,Accra,premium_plan,College,Employed,male,Single,216,0,6,1,contacting_branch_directly,4-door_car,No
723,Accra,primary_plan,Bachelor,Medical Leave,male,Divorced,142,56,2,1,contacting_agent,4-door_car,Yes
724,Kumasi,primary_plan,College,Employed,male,Single,146,73,2,2,via_the_web,4-door_car,No
725,Takoradi,primary_plan,Bachelor,Medical Leave,male,Married,122,142,1,2,contacting_agent,4-door_car,No
726,Takoradi,primary_plan,High School or Below,Disabled,female,Single,122,146,3,1,via_the_web,2-door_car,Yes
727,Kumasi,primary_plan,College,Employed,female,Married,228,103,6,1,customer_call_centre,SUV,No
728,Accra,primary_plan,High School or Below,Employed,male,Single,134,30,2,1,contacting_agent,4-door_car,No
729,Accra,extended_plan,College,Employed,male,Married,194,17,3,4,contacting_branch_directly,4-door_car,No
730,Cape_coast,extended_plan,Master,Employed,male,Married,262,9,6,1,contacting_agent,SUV,No
731,Tamale,extended_plan,Bachelor,Employed,male,Divorced,198,9,2,1,contacting_agent,4-door_car,No
732,Takoradi,primary_plan,Bachelor,Employed,male,Married,220,30,7,1,contacting_agent,SUV,No
733,Cape_coast,extended_plan,Bachelor,Unemployed,male,Divorced,164,17,3,1,contacting_branch_directly,2-door_car,No
734,Takoradi,primary_plan,Bachelor,Employed,male,Single,132,0,2,3,customer_call_centre,4-door_car,No
735,Takoradi,extended_plan,High School or Below,Employed,female,Married,176,108,8,4,customer_call_centre,4-door_car,No
736,Accra,primary_plan,Bachelor,Employed,male,Married,228,103,9,2,contacting_agent,SUV,Yes
737,Takoradi,primary_plan,Bachelor,Employed,male,Divorced,220,0,3,3,contacting_branch_directly,Sports Car,No
738,Kumasi,extended_plan,Bachelor,Employed,female,Divorced,162,30,2,1,customer_call_centre,2-door_car,No
739,Accra,primary_plan,College,Unemployed,male,Single,132,0,9,1,customer_call_centre,4-door_car,No
740,Kumasi,primary_plan,College,Employed,male,Married,128,22,2,3,contacting_agent,4-door_car,No
741,Tamale,extended_plan,College,Unemployed,female,Married,260,0,1,3,contacting_branch_directly,SUV,No
742,Kumasi,primary_plan,Master,Unemployed,male,Married,142,142,3,1,contacting_agent,4-door_car,No
743,Accra,primary_plan,High School or Below,Employed,female,Married,200,56,3,2,contacting_branch_directly,SUV,No
744,Cape_coast,primary_plan,Bachelor,Employed,male,Married,144,116,1,3,via_the_web,4-door_car,No
745,Kumasi,extended_plan,High School or Below,Employed,female,Married,192,108,2,3,contacting_agent,4-door_car,No
746,Accra,primary_plan,Bachelor,Employed,female,Married,126,99,2,3,via_the_web,2-door_car,No
747,Tamale,primary_plan,High School or Below,Unemployed,female,Single,146,52,4,2,contacting_branch_directly,4-door_car,No
748,Cape_coast,primary_plan,Master,Employed,female,Married,138,9,1,2,via_the_web,4-door_car,Yes
749,Kumasi,primary_plan,College,Employed,female,Married,224,82,2,2,contacting_agent,SUV,No
750,Accra,extended_plan,College,Medical Leave,male,Divorced,184,133,2,4,via_the_web,4-door_car,No
751,Tamale,premium_plan,High School or Below,Unemployed,female,Married,228,129,2,3,contacting_branch_directly,2-door_car,No
752,Takoradi,primary_plan,College,Employed,female,Divorced,230,95,2,1,contacting_branch_directly,Sports Car,No
753,Accra,primary_plan,College,Medical Leave,female,Married,142,125,1,2,customer_call_centre,4-door_car,Yes
754,Accra,extended_plan,Bachelor,Employed,female,Married,178,64,5,4,contacting_branch_directly,4-door_car,No
755,Accra,premium_plan,Bachelor,Retired,female,Married,542,86,1,1,contacting_agent,luxurious_suv,Yes
756,Cape_coast,primary_plan,College,Employed,female,Married,146,17,3,2,contacting_agent,4-door_car,No
757,Takoradi,extended_plan,High School or Below,Medical Leave,male,Married,412,60,3,1,contacting_branch_directly,luxurious_suv,No
758,Takoradi,primary_plan,Bachelor,Employed,female,Married,132,34,3,2,customer_call_centre,4-door_car,No
759,Kumasi,extended_plan,College,Unemployed,male,Divorced,174,69,2,1,contacting_agent,4-door_car,No
760,Tamale,primary_plan,High School or Below,Employed,male,Single,392,129,1,1,contacting_branch_directly,luxurious_suv,No
761,Accra,primary_plan,High School or Below,Unemployed,female,Married,208,4,7,1,contacting_branch_directly,Sports Car,No
762,Accra,extended_plan,High School or Below,Employed,female,Married,198,34,3,1,contacting_agent,2-door_car,No
763,Takoradi,primary_plan,College,Unemployed,male,Single,126,0,1,2,contacting_branch_directly,2-door_car,No
764,Cape_coast,extended_plan,High School or Below,Retired,male,Married,176,56,2,1,contacting_branch_directly,2-door_car,No
765,Kumasi,primary_plan,High School or Below,Employed,female,Married,132,86,6,4,contacting_branch_directly,4-door_car,No
766,Kumasi,extended_plan,Bachelor,Employed,female,Married,264,77,2,3,customer_call_centre,Sports Car,No
767,Accra,premium_plan,College,Employed,male,Married,204,69,2,1,contacting_branch_directly,2-door_car,Yes
768,Accra,primary_plan,College,Unemployed,female,Married,130,30,1,2,contacting_branch_directly,4-door_car,No
769,Kumasi,primary_plan,Bachelor,Unemployed,male,Single,130,60,2,3,contacting_branch_directly,4-door_car,No
770,Tamale,extended_plan,College,Retired,female,Married,164,142,2,1,contacting_branch_directly,2-door_car,No
771,Accra,premium_plan,Bachelor,Employed,female,Single,206,60,1,1,contacting_branch_directly,2-door_car,Yes
772,Cape_coast,primary_plan,Bachelor,Employed,female,Married,122,103,3,4,via_the_web,4-door_car,No
773,Accra,primary_plan,College,Employed,female,Married,228,99,1,3,contacting_agent,SUV,No
774,Takoradi,premium_plan,Bachelor,Employed,male,Single,236,26,2,1,contacting_branch_directly,2-door_car,No
775,Kumasi,primary_plan,Bachelor,Employed,male,Married,386,26,1,4,contacting_branch_directly,luxirious_car,No
776,Accra,primary_plan,High School or Below,Employed,female,Single,130,64,1,2,contacting_agent,4-door_car,Yes
777,Accra,extended_plan,Bachelor,Employed,male,Divorced,266,17,1,1,via_the_web,SUV,No
778,Kumasi,extended_plan,College,Employed,male,Single,178,133,2,3,customer_call_centre,4-door_car,No
779,Accra,extended_plan,High School or Below,Employed,female,Married,190,120,2,2,contacting_branch_directly,4-door_car,No
780,Kumasi,premium_plan,Bachelor,Employed,male,Married,218,4,1,2,customer_call_centre,4-door_car,No
781,Kumasi,primary_plan,High School or Below,Unemployed,female,Divorced,238,0,1,2,contacting_agent,SUV,No
782,Accra,primary_plan,College,Unemployed,female,Married,214,13,3,1,contacting_agent,SUV,Yes
783,Cape_coast,premium_plan,College,Unemployed,male,Married,210,13,1,1,contacting_branch_directly,4-door_car,Yes
784,Kumasi,extended_plan,College,Unemployed,male,Single,270,34,1,1,contacting_agent,SUV,No
785,Accra,primary_plan,High School or Below,Employed,female,Married,142,43,2,4,via_the_web,4-door_car,No
786,Takoradi,primary_plan,College,Unemployed,female,Single,142,4,2,4,customer_call_centre,4-door_car,No
787,Cape_coast,extended_plan,Master,Retired,female,Married,170,90,2,2,contacting_agent,2-door_car,Yes
788,Kumasi,primary_plan,College,Unemployed,female,Single,128,133,1,3,contacting_branch_directly,4-door_car,No
789,Takoradi,primary_plan,College,Employed,male,Married,148,95,2,2,contacting_agent,4-door_car,Yes
790,Tamale,primary_plan,College,Employed,male,Married,144,17,1,2,contacting_branch_directly,4-door_car,No
791,Accra,primary_plan,College,Employed,male,Divorced,124,56,1,3,contacting_branch_directly,2-door_car,No
792,Takoradi,premium_plan,College,Employed,male,Single,308,142,1,2,contacting_branch_directly,Sports Car,Yes
793,Takoradi,primary_plan,College,Employed,female,Single,140,82,2,4,contacting_branch_directly,2-door_car,No
794,Takoradi,primary_plan,Master,Employed,female,Married,126,30,2,4,customer_call_centre,4-door_car,No
795,Kumasi,primary_plan,High School or Below,Employed,female,Married,122,9,1,1,customer_call_centre,4-door_car,No
796,Cape_coast,primary_plan,Bachelor,Unemployed,female,Single,134,69,1,3,contacting_agent,4-door_car,No
797,Tamale,primary_plan,Bachelor,Employed,female,Divorced,140,112,2,1,contacting_branch_directly,4-door_car,No
798,Accra,primary_plan,College,Unemployed,male,Single,140,103,1,1,contacting_branch_directly,4-door_car,Yes
799,Kumasi,primary_plan,College,Disabled,male,Single,130,56,3,1,contacting_agent,2-door_car,No
800,Kumasi,primary_plan,College,Unemployed,female,Single,136,82,2,1,contacting_agent,4-door_car,Yes
801,Kumasi,primary_plan,Bachelor,Medical Leave,female,Married,148,13,1,1,contacting_agent,4-door_car,No
802,Accra,primary_plan,High School or Below,Employed,female,Married,216,13,3,2,contacting_branch_directly,SUV,Yes
803,Kumasi,primary_plan,College,Employed,female,Married,124,60,2,3,contacting_agent,4-door_car,No
804,Kumasi,primary_plan,High School or Below,Employed,female,Married,224,22,1,1,customer_call_centre,SUV,No
805,Cape_coast,primary_plan,High School or Below,Retired,male,Married,122,30,1,3,via_the_web,4-door_car,Yes
806,Accra,primary_plan,High School or Below,Unemployed,female,Single,130,26,2,2,contacting_branch_directly,4-door_car,No
807,Takoradi,extended_plan,Bachelor,Employed,male,Married,160,13,1,2,contacting_agent,4-door_car,No
808,Takoradi,premium_plan,Bachelor,Disabled,female,Divorced,202,77,2,1,contacting_agent,4-door_car,Yes
809,Accra,primary_plan,Bachelor,Employed,female,Single,126,47,1,2,via_the_web,4-door_car,Yes
810,Kumasi,primary_plan,Bachelor,Unemployed,male,Single,364,13,2,1,via_the_web,luxirious_car,No
811,Tamale,primary_plan,Bachelor,Employed,male,Divorced,218,43,9,4,contacting_branch_directly,SUV,No
812,Takoradi,extended_plan,Doctor,Employed,male,Single,166,56,1,4,customer_call_centre,4-door_car,No
813,Takoradi,primary_plan,High School or Below,Employed,male,Married,134,17,9,1,contacting_agent,2-door_car,No
814,Tamale,extended_plan,High School or Below,Employed,male,Married,194,64,1,4,contacting_agent,4-door_car,No
815,Accra,primary_plan,Master,Employed,male,Divorced,230,30,2,3,customer_call_centre,SUV,No
816,Kumasi,primary_plan,College,Unemployed,female,Single,144,13,3,1,contacting_agent,4-door_car,No
817,Accra,primary_plan,Bachelor,Employed,male,Divorced,378,112,1,2,contacting_branch_directly,luxirious_car,No
818,Accra,premium_plan,College,Unemployed,male,Divorced,210,22,5,1,contacting_agent,4-door_car,No
819,Kumasi,premium_plan,Bachelor,Employed,female,Divorced,320,0,3,1,contacting_agent,SUV,No
820,Tamale,extended_plan,High School or Below,Employed,female,Married,198,95,2,4,customer_call_centre,2-door_car,No
821,Cape_coast,extended_plan,High School or Below,Employed,female,Married,172,43,3,3,via_the_web,2-door_car,No
822,Kumasi,extended_plan,Bachelor,Unemployed,male,Single,160,39,7,3,contacting_agent,4-door_car,No
823,Kumasi,extended_plan,Doctor,Unemployed,female,Married,168,77,4,1,contacting_agent,4-door_car,Yes
824,Accra,primary_plan,High School or Below,Employed,female,Married,142,43,2,1,customer_call_centre,4-door_car,No
825,Accra,primary_plan,Bachelor,Employed,male,Single,144,34,1,1,contacting_agent,4-door_car,No
826,Accra,primary_plan,Master,Employed,female,Divorced,228,86,1,2,contacting_branch_directly,SUV,Yes
827,Cape_coast,premium_plan,Doctor,Employed,female,Married,214,120,9,1,via_the_web,4-door_car,No
828,Cape_coast,primary_plan,High School or Below,Unemployed,male,Single,124,34,6,1,customer_call_centre,4-door_car,No
829,Kumasi,primary_plan,College,Unemployed,female,Single,142,22,5,1,customer_call_centre,4-door_car,No
830,Accra,primary_plan,Master,Employed,female,Single,224,34,4,3,contacting_agent,SUV,No
831,Kumasi,primary_plan,College,Employed,female,Married,136,116,4,1,contacting_agent,4-door_car,No
832,Kumasi,premium_plan,College,Employed,male,Married,590,60,2,2,via_the_web,luxirious_car,No
833,Accra,primary_plan,College,Employed,male,Married,134,13,1,2,contacting_branch_directly,4-door_car,No
834,Tamale,premium_plan,College,Unemployed,male,Single,204,125,2,1,contacting_branch_directly,4-door_car,No
835,Takoradi,primary_plan,Master,Employed,male,Divorced,144,39,3,2,contacting_branch_directly,4-door_car,Yes
836,Takoradi,primary_plan,Master,Employed,male,Married,222,30,2,1,contacting_branch_directly,SUV,No
837,Takoradi,primary_plan,High School or Below,Employed,female,Married,134,4,1,4,contacting_branch_directly,2-door_car,No
838,Accra,extended_plan,Bachelor,Employed,male,Married,184,39,1,3,contacting_branch_directly,4-door_car,No
839,Kumasi,extended_plan,College,Employed,female,Married,156,116,2,3,contacting_branch_directly,4-door_car,No
840,Accra,extended_plan,College,Employed,male,Single,420,30,1,2,contacting_agent,luxurious_suv,Yes
841,Accra,primary_plan,Bachelor,Medical Leave,female,Married,214,56,7,1,customer_call_centre,SUV,No
842,Accra,primary_plan,High School or Below,Unemployed,female,Single,124,112,1,4,customer_call_centre,4-door_car,No
843,Accra,primary_plan,Bachelor,Employed,male,Married,142,103,2,1,contacting_agent,4-door_car,No
844,Accra,primary_plan,High School or Below,Retired,male,Married,122,30,1,3,via_the_web,4-door_car,Yes
845,Takoradi,primary_plan,High School or Below,Unemployed,female,Married,138,116,9,2,customer_call_centre,4-door_car,No
846,Accra,primary_plan,Master,Employed,female,Married,132,4,1,3,via_the_web,4-door_car,No
847,Accra,primary_plan,College,Employed,female,Married,138,60,1,1,contacting_agent,4-door_car,No
848,Kumasi,primary_plan,College,Employed,male,Married,138,125,1,2,via_the_web,4-door_car,No
849,Accra,primary_plan,Bachelor,Employed,female,Married,128,108,2,1,contacting_branch_directly,2-door_car,No
850,Kumasi,extended_plan,Bachelor,Employed,male,Married,278,120,4,1,customer_call_centre,SUV,No
851,Accra,extended_plan,College,Unemployed,male,Single,268,103,5,1,contacting_agent,SUV,No
852,Kumasi,extended_plan,College,Employed,male,Single,246,95,1,1,contacting_branch_directly,SUV,No
853,Tamale,primary_plan,College,Unemployed,male,Single,202,103,1,4,via_the_web,SUV,No
854,Accra,extended_plan,Doctor,Employed,male,Divorced,176,108,1,2,contacting_branch_directly,4-door_car,Yes
855,Accra,primary_plan,Bachelor,Employed,male,Married,130,52,1,4,contacting_branch_directly,4-door_car,No
856,Tamale,extended_plan,High School or Below,Unemployed,male,Married,262,86,2,3,contacting_agent,SUV,No
857,Accra,extended_plan,Master,Employed,female,Married,184,47,3,1,contacting_branch_directly,4-door_car,No
858,Accra,primary_plan,College,Unemployed,female,Single,122,129,3,3,contacting_agent,2-door_car,No
859,Kumasi,primary_plan,Master,Employed,male,Single,232,34,8,1,contacting_agent,Sports Car,Yes
860,Takoradi,extended_plan,Bachelor,Unemployed,female,Divorced,278,22,2,1,customer_call_centre,SUV,Yes
861,Tamale,primary_plan,College,Employed,female,Divorced,142,90,6,1,contacting_branch_directly,2-door_car,No
862,Accra,extended_plan,College,Employed,female,Married,192,13,2,3,contacting_branch_directly,4-door_car,No
863,Kumasi,primary_plan,College,Employed,female,Single,142,13,1,2,contacting_agent,2-door_car,Yes
864,Kumasi,primary_plan,High School or Below,Employed,male,Married,212,22,9,3,via_the_web,SUV,No
865,Accra,primary_plan,College,Employed,male,Married,128,99,2,2,via_the_web,4-door_car,Yes
866,Takoradi,extended_plan,Bachelor,Employed,male,Married,166,108,1,2,via_the_web,4-door_car,No
867,Cape_coast,extended_plan,High School or Below,Employed,female,Married,262,133,1,2,via_the_web,SUV,No
868,Cape_coast,extended_plan,High School or Below,Employed,female,Single,156,47,2,2,contacting_agent,4-door_car,No
869,Tamale,primary_plan,Bachelor,Unemployed,male,Married,202,4,1,1,contacting_agent,SUV,Yes
870,Kumasi,primary_plan,Master,Employed,male,Married,126,64,1,3,via_the_web,2-door_car,Yes
871,Takoradi,primary_plan,High School or Below,Employed,male,Married,364,142,1,2,contacting_agent,luxurious_suv,No
872,Takoradi,primary_plan,Bachelor,Employed,male,Single,232,22,1,1,customer_call_centre,Sports Car,No
873,Tamale,primary_plan,Doctor,Employed,female,Married,136,142,1,3,customer_call_centre,4-door_car,No
874,Accra,primary_plan,High School or Below,Employed,male,Married,146,52,2,1,contacting_branch_directly,4-door_car,No
875,Kumasi,extended_plan,College,Unemployed,male,Married,158,30,2,2,via_the_web,4-door_car,No
876,Accra,primary_plan,College,Disabled,male,Married,124,73,1,1,customer_call_centre,4-door_car,No
877,Takoradi,primary_plan,Master,Employed,male,Single,238,77,1,3,contacting_agent,Sports Car,No
878,Accra,primary_plan,Bachelor,Unemployed,male,Married,146,60,8,1,customer_call_centre,4-door_car,No
879,Kumasi,primary_plan,College,Employed,female,Divorced,138,116,6,1,contacting_agent,4-door_car,No
880,Takoradi,extended_plan,Bachelor,Employed,male,Married,184,34,1,2,customer_call_centre,4-door_car,No
881,Takoradi,primary_plan,High School or Below,Employed,female,Single,128,0,4,1,contacting_branch_directly,4-door_car,No
882,Takoradi,extended_plan,High School or Below,Employed,female,Married,198,34,2,2,contacting_branch_directly,4-door_car,No
883,Kumasi,primary_plan,High School or Below,Employed,male,Married,124,39,5,2,contacting_agent,4-door_car,No
884,Tamale,primary_plan,Doctor,Employed,female,Married,132,90,1,4,contacting_branch_directly,4-door_car,No
885,Cape_coast,extended_plan,College,Employed,female,Married,262,60,1,1,contacting_agent,Sports Car,No
886,Takoradi,primary_plan,High School or Below,Employed,male,Married,134,99,1,1,contacting_agent,4-door_car,No
887,Accra,extended_plan,High School or Below,Employed,male,Married,174,39,2,1,contacting_agent,4-door_car,No
888,Takoradi,extended_plan,Bachelor,Medical Leave,male,Married,478,0,1,2,via_the_web,luxurious_suv,No
889,Accra,primary_plan,College,Employed,female,Married,236,43,7,1,contacting_branch_directly,SUV,No
890,Accra,primary_plan,Bachelor,Employed,female,Married,222,64,2,3,via_the_web,SUV,No
891,Accra,primary_plan,Bachelor,Unemployed,female,Single,224,56,1,1,contacting_agent,SUV,No
892,Takoradi,primary_plan,High School or Below,Unemployed,female,Single,128,30,2,1,customer_call_centre,4-door_car,No
893,Takoradi,primary_plan,Bachelor,Employed,male,Married,132,108,2,3,contacting_agent,4-door_car,Yes
894,Kumasi,primary_plan,Bachelor,Retired,male,Divorced,142,56,1,2,via_the_web,4-door_car,Yes
895,Accra,primary_plan,High School or Below,Employed,male,Married,140,90,3,2,contacting_agent,4-door_car,Yes
896,Tamale,primary_plan,High School or Below,Employed,male,Married,130,103,1,2,customer_call_centre,4-door_car,No
897,Tamale,primary_plan,College,Employed,female,Married,132,60,1,3,contacting_agent,4-door_car,No
898,Cape_coast,premium_plan,Master,Employed,female,Married,226,39,2,3,contacting_branch_directly,2-door_car,No
899,Accra,primary_plan,Bachelor,Employed,female,Married,126,69,3,3,contacting_branch_directly,4-door_car,No
900,Takoradi,primary_plan,High School or Below,Medical Leave,female,Single,124,0,1,3,contacting_branch_directly,4-door_car,No
901,Accra,primary_plan,Bachelor,Employed,female,Married,376,133,5,1,contacting_branch_directly,luxurious_suv,No
902,Kumasi,extended_plan,Doctor,Employed,male,Married,242,0,4,1,contacting_branch_directly,Sports Car,No
903,Kumasi,primary_plan,Bachelor,Employed,female,Married,238,26,6,1,contacting_agent,SUV,No
904,Takoradi,extended_plan,High School or Below,Medical Leave,male,Divorced,198,133,1,1,contacting_agent,2-door_car,No
905,Accra,extended_plan,College,Medical Leave,male,Married,198,0,2,2,contacting_agent,4-door_car,No
906,Takoradi,primary_plan,College,Employed,female,Divorced,138,99,2,4,contacting_branch_directly,4-door_car,No
907,Accra,extended_plan,College,Employed,female,Single,166,125,2,1,contacting_branch_directly,4-door_car,No
908,Takoradi,extended_plan,High School or Below,Employed,female,Married,194,0,1,3,contacting_agent,4-door_car,Yes
909,Cape_coast,primary_plan,Bachelor,Employed,female,Divorced,140,30,2,3,via_the_web,4-door_car,No
910,Kumasi,primary_plan,Bachelor,Retired,male,Divorced,230,9,2,1,contacting_branch_directly,SUV,Yes
911,Takoradi,extended_plan,High School or Below,Unemployed,female,Single,166,9,4,3,contacting_agent,4-door_car,No
912,Takoradi,primary_plan,Bachelor,Employed,female,Divorced,130,17,9,1,contacting_branch_directly,4-door_car,No
913,Accra,primary_plan,College,Employed,female,Married,146,73,1,1,contacting_agent,4-door_car,No
914,Tamale,extended_plan,High School or Below,Employed,male,Married,194,0,2,2,contacting_agent,4-door_car,No
915,Tamale,extended_plan,Master,Medical Leave,female,Single,168,43,1,3,contacting_agent,4-door_car,No
916,Kumasi,primary_plan,College,Employed,female,Married,130,142,7,3,customer_call_centre,4-door_car,No
917,Takoradi,premium_plan,High School or Below,Employed,female,Married,230,43,2,2,via_the_web,4-door_car,Yes
918,Tamale,extended_plan,Master,Employed,male,Single,180,47,2,4,contacting_branch_directly,2-door_car,No
919,Accra,primary_plan,High School or Below,Employed,female,Married,124,146,3,3,contacting_agent,4-door_car,No
920,Accra,primary_plan,Bachelor,Employed,male,Married,216,90,8,1,contacting_branch_directly,SUV,No
921,Kumasi,primary_plan,College,Employed,male,Married,128,56,2,3,customer_call_centre,4-door_car,No
922,Kumasi,extended_plan,High School or Below,Employed,male,Married,186,120,1,2,customer_call_centre,2-door_car,No
923,Takoradi,primary_plan,Bachelor,Employed,female,Divorced,140,0,1,2,customer_call_centre,4-door_car,No
924,Takoradi,primary_plan,College,Employed,male,Married,122,4,5,2,contacting_agent,4-door_car,No
925,Accra,primary_plan,College,Employed,female,Married,228,43,3,3,via_the_web,SUV,No
926,Kumasi,premium_plan,College,Employed,female,Divorced,512,64,1,2,contacting_agent,luxirious_car,No
927,Cape_coast,primary_plan,College,Medical Leave,male,Married,228,116,6,3,customer_call_centre,SUV,No
928,Cape_coast,primary_plan,High School or Below,Unemployed,male,Single,224,13,7,1,via_the_web,SUV,No
929,Kumasi,primary_plan,High School or Below,Employed,female,Married,128,13,2,3,customer_call_centre,4-door_car,No
930,Accra,primary_plan,Bachelor,Unemployed,female,Married,144,95,2,2,contacting_agent,4-door_car,No
931,Cape_coast,primary_plan,Master,Employed,female,Single,130,99,1,2,via_the_web,4-door_car,Yes
932,Kumasi,primary_plan,Bachelor,Employed,male,Married,142,39,3,4,via_the_web,4-door_car,No
933,Tamale,primary_plan,Bachelor,Employed,female,Married,134,39,6,4,contacting_branch_directly,2-door_car,No
934,Kumasi,primary_plan,Bachelor,Employed,male,Divorced,138,82,1,1,contacting_branch_directly,4-door_car,No
935,Accra,primary_plan,High School or Below,Employed,female,Married,142,47,8,3,customer_call_centre,4-door_car,No
936,Takoradi,extended_plan,Bachelor,Employed,male,Married,170,90,2,2,contacting_agent,4-door_car,No
937,Accra,primary_plan,Master,Unemployed,male,Married,148,116,1,1,contacting_branch_directly,2-door_car,No
938,Kumasi,primary_plan,Bachelor,Unemployed,male,Divorced,128,99,6,3,contacting_branch_directly,4-door_car,No
939,Accra,primary_plan,High School or Below,Disabled,female,Married,126,146,3,4,via_the_web,4-door_car,No
940,Takoradi,primary_plan,College,Employed,male,Married,142,146,2,3,contacting_branch_directly,2-door_car,No
941,Kumasi,primary_plan,Bachelor,Disabled,female,Married,124,26,1,1,contacting_branch_directly,4-door_car,No
942,Tamale,primary_plan,High School or Below,Employed,male,Married,124,34,1,1,contacting_branch_directly,2-door_car,No
943,Takoradi,primary_plan,High School or Below,Employed,female,Married,226,26,1,2,customer_call_centre,SUV,No
944,Takoradi,primary_plan,College,Unemployed,female,Single,376,150,7,1,customer_call_centre,luxirious_car,No
945,Kumasi,extended_plan,Bachelor,Unemployed,male,Single,180,90,2,1,contacting_agent,4-door_car,No
946,Accra,premium_plan,High School or Below,Employed,female,Married,208,142,1,1,contacting_branch_directly,4-door_car,No
947,Takoradi,primary_plan,Bachelor,Employed,male,Single,142,112,1,2,contacting_agent,4-door_car,No
948,Takoradi,extended_plan,Master,Employed,female,Married,196,17,2,1,via_the_web,2-door_car,No
949,Kumasi,extended_plan,High School or Below,Unemployed,female,Single,192,22,1,2,contacting_agent,4-door_car,No
950,Kumasi,extended_plan,Bachelor,Unemployed,female,Single,170,13,1,3,contacting_agent,4-door_car,No
951,Takoradi,extended_plan,Doctor,Employed,female,Married,172,22,1,4,contacting_branch_directly,4-door_car,No
952,Accra,primary_plan,College,Employed,female,Married,136,52,1,4,contacting_agent,4-door_car,No
953,Kumasi,extended_plan,College,Unemployed,female,Married,268,99,4,1,contacting_agent,SUV,No
954,Accra,primary_plan,High School or Below,Employed,male,Married,130,129,1,2,customer_call_centre,2-door_car,No
955,Takoradi,extended_plan,College,Employed,female,Married,156,116,6,2,contacting_agent,4-door_car,No
956,Cape_coast,primary_plan,Doctor,Unemployed,female,Married,138,99,7,4,contacting_agent,4-door_car,No
957,Tamale,primary_plan,Master,Employed,male,Single,232,34,8,1,contacting_agent,Sports Car,Yes
958,Takoradi,primary_plan,Bachelor,Medical Leave,male,Single,130,52,3,1,contacting_agent,2-door_car,No
959,Accra,primary_plan,College,Employed,male,Married,126,125,4,3,contacting_branch_directly,4-door_car,No
960,Accra,extended_plan,High School or Below,Employed,male,Married,258,82,2,3,contacting_branch_directly,SUV,No
961,Kumasi,primary_plan,High School or Below,Employed,male,Married,146,22,4,2,contacting_agent,4-door_car,Yes
962,Kumasi,extended_plan,Bachelor,Employed,female,Married,176,30,2,2,customer_call_centre,2-door_car,Yes
963,Kumasi,primary_plan,High School or Below,Unemployed,female,Single,130,34,1,2,contacting_branch_directly,4-door_car,No
964,Accra,primary_plan,High School or Below,Employed,male,Married,136,17,3,4,customer_call_centre,2-door_car,No
965,Accra,primary_plan,Master,Employed,female,Divorced,134,108,2,1,via_the_web,2-door_car,No
966,Takoradi,primary_plan,Bachelor,Retired,male,Divorced,130,4,3,1,contacting_agent,4-door_car,Yes
967,Kumasi,primary_plan,College,Unemployed,female,Single,144,60,1,2,contacting_agent,4-door_car,No
968,Accra,extended_plan,Bachelor,Employed,male,Divorced,168,116,1,4,contacting_branch_directly,2-door_car,No
969,Tamale,primary_plan,Bachelor,Employed,female,Married,126,0,5,3,via_the_web,4-door_car,No
970,Kumasi,premium_plan,College,Employed,female,Single,346,22,3,3,contacting_agent,SUV,No
971,Takoradi,primary_plan,College,Unemployed,male,Married,136,26,8,1,contacting_agent,4-door_car,No
972,Cape_coast,primary_plan,Bachelor,Employed,male,Married,130,82,2,4,contacting_agent,2-door_car,No
973,Cape_coast,primary_plan,College,Employed,female,Married,128,56,1,4,customer_call_centre,4-door_car,No
974,Takoradi,primary_plan,High School or Below,Unemployed,female,Married,132,64,3,2,contacting_branch_directly,2-door_car,No
